Freq_Thz,S11-db,VSWR,W1
2.76,-7.033029748,2.603527107,30
2.78,-7.589463729,2.432741916,30
2.8,-8.345439425,2.23931271,30
2.82,-9.211556225,2.059394338,30
2.84,-9.946837777,1.93327897,30
2.86,-10.18892355,1.896132565,30
2.88,-9.778521412,1.960308921,30
2.9,-8.962150911,2.107340959,30
2.92,-8.077693644,2.303393881,30
2.94,-7.302801201,2.517287061,30
2.96,-6.68087153,2.727173997,30
2.98,-6.199634793,2.92002685,30
3,-5.833559396,3.089006892,30
3.02,-5.558834682,3.231018702,30
3.04,-5.356888046,3.345029695,30
3.06,-5.214333791,3.43100126,30
3.08,-5.12203834,3.48929321,30
3.1,-5.073859746,3.520589,30
3.12,-5.065308503,3.526207692,30
3.14,-5.092534114,3.508386242,30
3.16,-5.151828814,3.470243175,30
3.18,-5.239509313,3.415467849,30
3.2,-5.351971942,3.347915913,30
3.22,-5.48582011,3.271239345,30
3.24,-5.638045892,3.188602099,30
3.26,-5.806266495,3.102492656,30
3.28,-5.988999838,3.014632206,30
3.3,-6.185939489,2.925974215,30
3.32,-6.398172543,2.836789157,30
3.34,-6.628281464,2.746824528,30
3.36,-6.880282658,2.655524179,30
3.38,-7.159375256,2.56228267,30
3.4,-7.471495241,2.466701209,30
3.42,-7.822686931,2.3688047,30
3.44,-8.218316512,2.269178987,30
3.46,-8.662167457,2.16899725,30
3.48,-9.155486217,2.069925451,30
3.5,-9.696101503,1.973923075,30
3.52,-10.27783764,1.882976721,30
3.54,-10.8905902,1.798811065,30
